,,counts,frequencies,CI
deva.A,अ,21.0,0.42,"(0.28, 0.57)"
deva.Gha,घ,10.0,0.2,"(0.1, 0.34)"
deva.Ta,त,19.0,0.38,"(0.25, 0.53)"
