,,counts,frequencies,CI
deva.A,अ,27.0,0.54,"(0.39, 0.68)"
deva.Ba,ब,20.0,0.4,"(0.26, 0.55)"
deva.Gha,घ,3.0,0.06,"(0.01, 0.17)"
