,,counts,frequencies,CI
deva.A,अ,35.0,0.7,"(0.55, 0.82)"
deva.Kha,ख,11.0,0.22,"(0.12, 0.36)"
deva.Sa,स,4.0,0.08,"(0.02, 0.19)"
