,,counts,frequencies,CI
deva.Ba,ब,28.0,0.56,"(0.41, 0.7)"
deva.Kha,ख,13.0,0.26,"(0.15, 0.4)"
deva.Ra,र,9.0,0.18,"(0.09, 0.31)"
