,,counts,frequencies,CI
deva.A,अ,23.0,0.46,"(0.32, 0.61)"
deva.Gha,घ,18.0,0.36,"(0.23, 0.51)"
deva.Sa,स,9.0,0.18,"(0.09, 0.31)"
