,,counts,frequencies,CI
deva.Ba,ब,5.0,0.1,"(0.03, 0.22)"
deva.Ssa,ष,5.0,0.1,"(0.03, 0.22)"
deva.Ta,त,40.0,0.8,"(0.66, 0.9)"
