,,counts,frequencies,CI
deva.Gha,घ,31.0,0.62,"(0.47, 0.75)"
deva.Ra,र,14.0,0.28,"(0.16, 0.42)"
deva.Ta,त,5.0,0.1,"(0.03, 0.22)"
