,,counts,frequencies,CI
cyrl.e,э,3.0,0.05,"(0.01, 0.14)"
cyrl.u,у,47.0,0.78,"(0.66, 0.88)"
cyrl.ve,в,10.0,0.17,"(0.08, 0.29)"
