,,counts,frequencies,CI
cyrl.er,р,12.0,0.2,"(0.11, 0.32)"
cyrl.te,т,45.0,0.75,"(0.62, 0.85)"
cyrl.ve,в,3.0,0.05,"(0.01, 0.14)"
