,,counts,frequencies,CI
cyrl.e,э,4.0,0.08,"(0.02, 0.19)"
cyrl.el,л,42.0,0.84,"(0.71, 0.93)"
cyrl.ze,з,4.0,0.08,"(0.02, 0.19)"
