,,counts,frequencies,CI
cyrl.e,э,18.0,0.36,"(0.23, 0.51)"
cyrl.ve,в,30.0,0.6,"(0.45, 0.74)"
cyrl.ze,з,2.0,0.04,"(0.0, 0.14)"
