,,counts,frequencies,CI
cyrl.el,л,45.0,0.75,"(0.62, 0.85)"
cyrl.er,р,8.0,0.13,"(0.06, 0.25)"
cyrl.ve,в,7.0,0.12,"(0.05, 0.23)"
