,,counts,frequencies,CI
cyrl.el,л,10.0,0.17,"(0.08, 0.29)"
cyrl.ha,х,22.0,0.37,"(0.25, 0.5)"
cyrl.ve,в,28.0,0.47,"(0.34, 0.6)"
