,,counts,frequencies,CI
cyrl.e,э,14.0,0.28,"(0.16, 0.42)"
cyrl.el,л,28.0,0.56,"(0.41, 0.7)"
cyrl.er,р,8.0,0.16,"(0.07, 0.29)"
