,,counts,frequencies,CI
cyrl.e,э,44.0,0.73,"(0.6, 0.84)"
cyrl.ha,х,9.0,0.15,"(0.07, 0.27)"
cyrl.te,т,7.0,0.12,"(0.05, 0.23)"
