,,counts,frequencies,CI
cyrl.er,р,44.0,0.73,"(0.6, 0.84)"
cyrl.ha,х,13.0,0.22,"(0.12, 0.34)"
cyrl.te,т,3.0,0.05,"(0.01, 0.14)"
