,,counts,frequencies,CI
cyrl.e,э,2.0,0.04,"(0.0, 0.14)"
cyrl.u,у,44.0,0.88,"(0.76, 0.95)"
cyrl.ze,з,4.0,0.08,"(0.02, 0.19)"
