,,counts,frequencies,CI
cyrl.e,э,9.0,0.18,"(0.09, 0.31)"
cyrl.te,т,40.0,0.8,"(0.66, 0.9)"
cyrl.ze,з,1.0,0.02,"(0.0, 0.11)"
