,,counts,frequencies,CI
cyrl.te,т,36.0,0.72,"(0.58, 0.84)"
cyrl.ve,в,3.0,0.06,"(0.01, 0.17)"
cyrl.ze,з,11.0,0.22,"(0.12, 0.36)"
