,,counts,frequencies,CI
cyrl.ef,ф,7.0,0.1,"(0.04, 0.2)"
cyrl.er,р,4.0,0.06,"(0.02, 0.14)"
cyrl.zhe,ж,58.0,0.84,"(0.73, 0.92)"
