,,counts,frequencies,CI
cyrl.short-i,й,21.0,0.3,"(0.2, 0.43)"
cyrl.u,у,13.0,0.19,"(0.1, 0.3)"
cyrl.yu,ю,35.0,0.51,"(0.38, 0.63)"
