,,counts,frequencies,CI
cyrl.es,с,3.0,0.04,"(0.01, 0.12)"
cyrl.short-i,й,59.0,0.86,"(0.75, 0.93)"
cyrl.yu,ю,7.0,0.1,"(0.04, 0.2)"
