,,counts,frequencies,CI
cyrl.em,м,52.0,0.75,"(0.64, 0.85)"
cyrl.es,с,7.0,0.1,"(0.04, 0.2)"
cyrl.yu,ю,10.0,0.14,"(0.07, 0.25)"
