,,counts,frequencies,CI
cyrl.ef,ф,7.0,0.1,"(0.04, 0.2)"
cyrl.em,м,61.0,0.88,"(0.78, 0.95)"
cyrl.er,р,1.0,0.01,"(0.0, 0.08)"
