,,counts,frequencies,CI
cyrl.ef,ф,9.0,0.13,"(0.06, 0.23)"
cyrl.short-i,й,56.0,0.81,"(0.7, 0.9)"
cyrl.yu,ю,4.0,0.06,"(0.02, 0.14)"
