,,counts,frequencies,CI
cyrl.em,м,5.0,0.07,"(0.02, 0.16)"
cyrl.es,с,41.0,0.59,"(0.47, 0.71)"
cyrl.u,у,23.0,0.33,"(0.22, 0.46)"
