,,counts,frequencies,CI
cyrl.er,р,22.0,0.32,"(0.21, 0.44)"
cyrl.u,у,5.0,0.07,"(0.02, 0.16)"
cyrl.zhe,ж,42.0,0.61,"(0.48, 0.72)"
