,,counts,frequencies,CI
cyrl.ef,ф,18.0,0.26,"(0.16, 0.38)"
cyrl.es,с,2.0,0.03,"(0.0, 0.1)"
cyrl.short-i,й,49.0,0.71,"(0.59, 0.81)"
