,,counts,frequencies,CI
deva.Ddha,ढ,49.0,0.79,"(0.67, 0.88)"
deva.Tha,थ,5.0,0.08,"(0.03, 0.18)"
deva.Ya,य,8.0,0.13,"(0.06, 0.24)"
