,,counts,frequencies,CI
deva.Ddha,ढ,52.0,0.84,"(0.72, 0.92)"
deva.Nna,ण,3.0,0.05,"(0.01, 0.13)"
deva.Ssa,ष,7.0,0.11,"(0.05, 0.22)"
