,,counts,frequencies,CI
deva.Sha,श,31.0,0.5,"(0.37, 0.63)"
deva.Ta,त,24.0,0.39,"(0.27, 0.52)"
deva.Ya,य,7.0,0.11,"(0.05, 0.22)"
