,,counts,frequencies,CI
deva.Nna,ण,38.0,0.61,"(0.48, 0.73)"
deva.Ta,त,14.0,0.23,"(0.13, 0.35)"
deva.Tha,थ,10.0,0.16,"(0.08, 0.28)"
