,,counts,frequencies,CI
deva.Dda,ड,47.0,0.85,"(0.73, 0.94)"
deva.Dha,ध,7.0,0.13,"(0.05, 0.24)"
deva.Gha,घ,1.0,0.02,"(0.0, 0.1)"
