,,counts,frequencies,CI
deva.Dda,ड,4.0,0.07,"(0.02, 0.18)"
deva.Tta,ट,27.0,0.49,"(0.35, 0.63)"
deva.U,उ,24.0,0.44,"(0.3, 0.58)"
