,,counts,frequencies,CI
deva.Cha,छ,6.0,0.11,"(0.04, 0.22)"
deva.Dda,ड,42.0,0.76,"(0.63, 0.87)"
deva.Dha,ध,7.0,0.13,"(0.05, 0.24)"
