,,counts,frequencies,CI
deva.Cha,छ,11.0,0.2,"(0.1, 0.33)"
deva.Dda,ड,38.0,0.69,"(0.55, 0.81)"
deva.Gha,घ,6.0,0.11,"(0.04, 0.22)"
