,,counts,frequencies,CI
deva.Ca,च,37.0,0.67,"(0.53, 0.79)"
deva.Cha,छ,13.0,0.24,"(0.13, 0.37)"
deva.Gha,घ,5.0,0.09,"(0.03, 0.2)"
