,,counts,frequencies,CI
deva.Cha,छ,29.0,0.53,"(0.39, 0.66)"
deva.Dda,ड,13.0,0.24,"(0.13, 0.37)"
deva.U,उ,13.0,0.24,"(0.13, 0.37)"
