,,counts,frequencies,CI
deva.Ca,च,28.0,0.51,"(0.37, 0.65)"
deva.Cha,छ,15.0,0.27,"(0.16, 0.41)"
deva.Ha,ह,12.0,0.22,"(0.12, 0.35)"
