,,counts,frequencies,CI
deva.E,ए,51.0,0.88,"(0.77, 0.95)"
deva.Ja,ज,3.0,0.05,"(0.01, 0.14)"
deva.Ka,क,4.0,0.07,"(0.02, 0.17)"
