,,counts,frequencies,CI
deva.Ddha,ढ,31.0,0.53,"(0.4, 0.67)"
deva.E,ए,17.0,0.29,"(0.18, 0.43)"
deva.Ma,म,10.0,0.17,"(0.09, 0.29)"
