,,counts,frequencies,CI
deva.Ddha,ढ,13.0,0.22,"(0.13, 0.35)"
deva.E,ए,39.0,0.67,"(0.54, 0.79)"
deva.Ja,ज,6.0,0.1,"(0.04, 0.21)"
