,,counts,frequencies,CI
deva.Ddha,ढ,26.0,0.45,"(0.32, 0.58)"
deva.Ka,क,5.0,0.09,"(0.03, 0.19)"
deva.Ma,म,27.0,0.47,"(0.33, 0.6)"
