,,counts,frequencies,CI
deva.Bha,भ,3.0,0.05,"(0.01, 0.14)"
deva.E,ए,46.0,0.79,"(0.67, 0.89)"
deva.Na,न,9.0,0.16,"(0.07, 0.27)"
