,,counts,frequencies,CI
deva.E,ए,25.0,0.43,"(0.3, 0.57)"
deva.Ma,म,10.0,0.17,"(0.09, 0.29)"
deva.Sha,श,23.0,0.4,"(0.27, 0.53)"
