,,counts,frequencies,CI
deva.Ja,ज,5.0,0.09,"(0.03, 0.19)"
deva.Ka,क,38.0,0.66,"(0.52, 0.78)"
deva.Na,न,15.0,0.26,"(0.15, 0.39)"
