,,counts,frequencies,CI
deva.E,ए,30.0,0.52,"(0.38, 0.65)"
deva.Na,न,12.0,0.21,"(0.11, 0.33)"
deva.Sha,श,16.0,0.28,"(0.17, 0.41)"
