,,counts,frequencies,CI
deva.Ka,क,12.0,0.21,"(0.11, 0.33)"
deva.Ma,म,18.0,0.31,"(0.2, 0.45)"
deva.Sha,श,28.0,0.48,"(0.35, 0.62)"
