,,counts,frequencies,CI
deva.Nga,ङ,14.0,0.27,"(0.16, 0.42)"
deva.Tta,ट,19.0,0.37,"(0.24, 0.52)"
deva.U,उ,18.0,0.35,"(0.22, 0.5)"
