,,counts,frequencies,CI
deva.La,ल,19.0,0.37,"(0.24, 0.52)"
deva.Nga,ङ,18.0,0.35,"(0.22, 0.5)"
deva.Tta,ट,14.0,0.27,"(0.16, 0.42)"
