,,counts,frequencies,CI
deva.Cha,छ,5.0,0.1,"(0.03, 0.21)"
deva.Dha,ध,13.0,0.25,"(0.14, 0.4)"
deva.Nga,ङ,33.0,0.65,"(0.5, 0.78)"
