,,counts,frequencies,CI
deva.Dha,ध,20.0,0.39,"(0.26, 0.54)"
deva.Nga,ङ,23.0,0.45,"(0.31, 0.6)"
deva.U,उ,8.0,0.16,"(0.07, 0.29)"
