,,counts,frequencies,CI
deva.Cha,छ,26.0,0.51,"(0.37, 0.65)"
deva.La,ल,15.0,0.29,"(0.17, 0.44)"
deva.U,उ,10.0,0.2,"(0.1, 0.33)"
