,,counts,frequencies,CI
deva.Dha,ध,15.0,0.29,"(0.17, 0.44)"
deva.La,ल,7.0,0.14,"(0.06, 0.26)"
deva.Tta,ट,29.0,0.57,"(0.42, 0.71)"
