,,counts,frequencies,CI
deva.La,ल,44.0,0.86,"(0.74, 0.94)"
deva.Tta,ट,1.0,0.02,"(0.0, 0.1)"
deva.Ttha,ठ,6.0,0.12,"(0.04, 0.24)"
