,,counts,frequencies,CI
deva.La,ल,6.0,0.12,"(0.04, 0.24)"
deva.Ttha,ठ,34.0,0.67,"(0.52, 0.79)"
deva.U,उ,11.0,0.22,"(0.11, 0.35)"
