,,,0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.ka', 'cyrl.ya')",31.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.ka', 'cyrl.zhe')",56.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.pe', 'cyrl.ya')",43.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.pe', 'cyrl.zhe')",25.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.ya', 'cyrl.zhe')",37.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ghe', 'cyrl.io')",53.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ghe', 'cyrl.ka')",45.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ghe', 'cyrl.pe')",33.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ghe', 'cyrl.ya')",42.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ghe', 'cyrl.zhe')",52.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.io', 'cyrl.ka')",50.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.io', 'cyrl.pe')",58.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.io', 'cyrl.ya')",40.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.io', 'cyrl.zhe')",40.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ka', 'cyrl.pe')",47.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ka', 'cyrl.ya')",40.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ka', 'cyrl.zhe')",48.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.pe', 'cyrl.ya')",55.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.pe', 'cyrl.zhe')",56.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ya', 'cyrl.zhe')",37.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.io', 'cyrl.ka')",51.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.io', 'cyrl.pe')",55.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.io', 'cyrl.ya')",34.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.io', 'cyrl.zhe')",33.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.ka', 'cyrl.pe')",53.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.ka', 'cyrl.ya')",40.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.ka', 'cyrl.zhe')",50.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.pe', 'cyrl.ya')",55.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.pe', 'cyrl.zhe')",58.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.ya', 'cyrl.zhe')",38.0
cyrillic,century-schoolbook,"('cyrl.io', 'cyrl.ka', 'cyrl.pe')",47.0
cyrillic,century-schoolbook,"('cyrl.io', 'cyrl.ka', 'cyrl.ya')",49.0
cyrillic,century-schoolbook,"('cyrl.io', 'cyrl.ka', 'cyrl.zhe')",51.0
cyrillic,century-schoolbook,"('cyrl.io', 'cyrl.pe', 'cyrl.ya')",32.0
cyrillic,century-schoolbook,"('cyrl.io', 'cyrl.pe', 'cyrl.zhe')",35.0
cyrillic,century-schoolbook,"('cyrl.io', 'cyrl.ya', 'cyrl.zhe')",44.0
cyrillic,century-schoolbook,"('cyrl.ka', 'cyrl.pe', 'cyrl.ya')",46.0
cyrillic,century-schoolbook,"('cyrl.ka', 'cyrl.pe', 'cyrl.zhe')",48.0
cyrillic,century-schoolbook,"('cyrl.ka', 'cyrl.ya', 'cyrl.zhe')",43.0
cyrillic,century-schoolbook,"('cyrl.pe', 'cyrl.ya', 'cyrl.zhe')",40.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.el', 'cyrl.es')",60.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.el', 'cyrl.ka')",54.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.el', 'cyrl.o')",60.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.el', 'cyrl.tse')",35.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.el', 'cyrl.ya')",54.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.el', 'cyrl.yu')",59.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.es', 'cyrl.ka')",52.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.es', 'cyrl.o')",54.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.es', 'cyrl.tse')",61.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.es', 'cyrl.ya')",43.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.es', 'cyrl.yu')",38.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.ka', 'cyrl.o')",50.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.ka', 'cyrl.tse')",57.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.ka', 'cyrl.ya')",29.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.ka', 'cyrl.yu')",28.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.o', 'cyrl.tse')",59.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.o', 'cyrl.ya')",43.0
