,,cyrl.a,cyrl.be,cyrl.ve,cyrl.ghe,cyrl.de,cyrl.ie,cyrl.io,cyrl.zhe,cyrl.ze,cyrl.i,cyrl.short-i,cyrl.ka,cyrl.el,cyrl.em,cyrl.en,cyrl.o,cyrl.pe,cyrl.er,cyrl.es,cyrl.te,cyrl.u,cyrl.ef,cyrl.ha,cyrl.tse,cyrl.che,cyrl.sha,cyrl.shcha,cyrl.hard-sign,cyrl.yeru,cyrl.soft-sign,cyrl.e,cyrl.yu,cyrl.ya
,,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
cyrl.u,у,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,12.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
cyrl.ef,ф,0.0,6.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,12.0,6.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
cyrl.ha,х,6.0,0.0,12.0,6.0,0.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,6.0,0.0,12.0,6.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,6.0,6.0,12.0,0.0,0.0
cyrl.tse,ц,6.0,6.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,6.0,6.0
cyrl.che,ч,6.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0
cyrl.sha,ш,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
cyrl.shcha,щ,6.0,6.0,0.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0
cyrl.hard-sign,ъ,12.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0
cyrl.yeru,ы,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0
cyrl.soft-sign,ь,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0
cyrl.e,э,0.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,6.0,0.0,12.0,6.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
cyrl.yu,ю,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,6.0,12.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
cyrl.ya,я,6.0,0.0,0.0,6.0,12.0,0.0,6.0,6.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
