,,counts,frequencies,CI
cyrl.be,б,4.0,0.05,"(0.01, 0.13)"
cyrl.ef,ф,11.0,0.15,"(0.08, 0.25)"
cyrl.i,и,60.0,0.8,"(0.69, 0.88)"
