,,counts,frequencies,CI
cyrl.be,б,30.0,0.4,"(0.29, 0.52)"
cyrl.en,н,41.0,0.55,"(0.43, 0.66)"
cyrl.ze,з,4.0,0.05,"(0.01, 0.13)"
