,,counts,frequencies,CI
cyrl.che,ч,7.0,0.09,"(0.04, 0.18)"
cyrl.en,н,12.0,0.16,"(0.09, 0.26)"
cyrl.ie,е,56.0,0.75,"(0.63, 0.84)"
