,,0
deva.Ca,च,0.15
deva.Jha,झ,0.45
deva.Nya,ञ,0.3
deva.Ttha,ठ,0.37
deva.Bha,भ,0.31
deva.Ma,म,0.31
deva.Ra,र,0.55
deva.Va,व,0.23
