,,0
deva.Ddha,ढ,0.41
deva.Nna,ण,0.42
deva.Ta,त,0.33
deva.Tha,थ,0.22
deva.Da,द,0.37
deva.Ya,य,0.2
deva.Sha,श,0.42
deva.Ssa,ष,0.31
