,,0
deva.A,अ,0.54
deva.Kha,ख,0.31
deva.Gha,घ,0.32
deva.Ta,त,0.33
deva.Ba,ब,0.32
deva.Ra,र,0.34
deva.Ssa,ष,0.31
deva.Sa,स,0.19
